source,airline,flight_number,origin,destination,booking_timestamp,departure_date,departure_time,advance_days,cabin_class,fare_class,stops,base_fare,taxes,fees,baggage,total_fare,refundable,cancellation_policy,currency,collected_at
CSV,Air India,AI617,HYD,BOM,2026-08-01,2026-08-08,17:00,7,Economy,Standard,0,4000,480,100,15kg,4580,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E345,HYD,BOM,2026-08-02,2026-08-09,10:00,7,Economy,Standard,0,3700,444,100,15kg,4244,No,Standard,INR,2026-08-02
CSV,Air India,AI617,HYD,BOM,2026-08-02,2026-08-09,17:00,7,Economy,Standard,0,4100,492,100,15kg,4692,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E789,HYD,DEL,2026-08-01,2026-08-08,07:00,7,Economy,Standard,0,4200,504,100,15kg,4804,No,Standard,INR,2026-08-01
CSV,Air India,AI512,HYD,DEL,2026-08-01,2026-08-08,15:30,7,Economy,Standard,0,4500,540,100,15kg,5140,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E789,HYD,DEL,2026-08-02,2026-08-09,07:00,7,Economy,Standard,0,4300,516,100,15kg,4916,No,Standard,INR,2026-08-02
CSV,Air India,AI512,HYD,DEL,2026-08-02,2026-08-09,15:30,7,Economy,Standard,0,4600,552,100,15kg,5252,Yes,Standard,INR,2026-08-02
CSV,IndiGo,6E234,PNQ,DEL,2026-08-01,2026-08-08,09:00,7,Economy,Standard,0,3200,384,100,15kg,3684,No,Standard,INR,2026-08-01
CSV,Air India,AI850,PNQ,DEL,2026-08-01,2026-08-08,14:00,7,Economy,Standard,0,3600,432,100,15kg,4132,Yes,Standard,INR,2026-08-01
CSV,IndiGo,6E234,PNQ,DEL,2026-08-02,2026-08-09,09:00,7,Economy,Standard,0,3300,396,100,15kg,3796,No,Standard,INR,2026-08-02
CSV,Air India,AI850,PNQ,DEL,2026-08-02,2026-08-09,14:00,7,Economy,Standard,0,3700,444,100,15kg,4244,Yes,Standard,INR,2026-08-02
